"nombre";"localidad";"tipo";"subtipo";"altitud";"nseed.Qp";"nseed.Qi";"nseed.Pi";"nseed";"denQp";"denQi";"denPi";"densed";"replicate"
"64";"P014";"CANAR";"CLARO";"CLARO2";1845;1;NA;NA;1;0.00333333333333333;NA;NA;0.00333333333333333;"R2"
"65";"P015";"CANAR";"CLARO";"CLARO2";1832;1;NA;NA;1;0.00333333333333333;NA;NA;0.00333333333333333;"R2"
"66";"P016";"CANAR";"CLARO";"CLARO2";1824;5;NA;NA;5;0.0166666666666667;NA;NA;0.0166666666666667;"R2"
"67";"P017";"CANAR";"CLARO";"CLARO2";1823;4;NA;NA;4;0.0133333333333333;NA;NA;0.0133333333333333;"R2"
"68";"P018";"CANAR";"CLARO";"CLARO2";1840;3;NA;NA;3;0.01;NA;NA;0.01;"R2"
"69";"P020";"CANAR";"CLARO";"CLARO3";1889;29;3;NA;32;0.0966666666666667;0.01;NA;0.106666666666667;"R3"
"70";"P021";"CANAR";"ROBLEDAL";"ROBLEDAL";1883;26;2;NA;28;0.0866666666666667;0.00666666666666667;NA;0.0933333333333333;"R3"
"71";"P022";"CANAR";"ROBLEDAL";"ROBLEDAL";1833;5;NA;NA;5;0.0166666666666667;NA;NA;0.0166666666666667;"R2"
"72";"P023";"CANAR";"ROBLEDAL";"ROBLEDAL";1868;31;2;NA;33;0.103333333333333;0.00666666666666667;NA;0.11;"R3"
"73";"P024";"CANAR";"ROBLEDAL";"ROBLEDAL";1858;19;3;NA;22;0.0633333333333333;0.01;NA;0.0733333333333333;"R2"
"74";"P026";"CANAR";"ROBLEDAL";"ROBLEDAL";1892;14;2;NA;16;0.0466666666666667;0.00666666666666667;NA;0.0533333333333333;"R3"
"75";"P027";"CANAR";"ROBLEDAL";"ROBLEDAL";1849;65;1;NA;66;0.216666666666667;0.00333333333333333;NA;0.22;"R2"
"76";"P028";"CANAR";"ROBLEDAL";"ROBLEDAL";1845;2;NA;NA;2;0.00666666666666667;NA;NA;0.00666666666666667;"R1"
"77";"P030";"CANAR";"ROBLEDAL";"ROBLEDAL";1866;1;NA;NA;1;0.00333333333333333;NA;NA;0.00333333333333333;"R1"
"78";"P031";"CANAR";"ROBLEDAL";"ROBLEDAL";1815;2;NA;NA;2;0.00666666666666667;NA;NA;0.00666666666666667;"R1"
"79";"P033";"CANAR";"ROBLEDAL";"ROBLEDAL";1843;2;NA;NA;2;0.00666666666666667;NA;NA;0.00666666666666667;"R2"
"80";"P034";"CANAR";"ROBLEDAL";"ROBLEDAL";1851;53;15;NA;68;0.176666666666667;0.05;NA;0.226666666666667;"R3"
"81";"P035";"CANAR";"ROBLEDAL";"ROBLEDAL";1796;NA;NA;NA;0;NA;NA;NA;0;"R1"
"82";"P037";"CANAR";"ROBLEDAL";"ROBLEDAL";1806;18;1;NA;19;0.06;0.00333333333333333;NA;0.0633333333333333;"R2"
"83";"P038";"CANAR";"ROBLEDAL";"ROBLEDAL";1789;61;5;NA;66;0.203333333333333;0.0166666666666667;NA;0.22;"R2"
