id,date,sp,lat,long,d,id_transect,elev,loc,h,w,wr
24367,2012-09-10,Qpy,36.96179,-3.42465,10,P033,1843,CA,5,13.05,14.299999999999999
24368,2012-09-10,Qpy,36.96179,-3.42465,14,P033,1843,CA,5,25.578000000000003,28.028
24369,2012-09-10,Qpy,36.96179,-3.42465,5,P033,1843,CA,1.8,0.3390100000000001,3.5749999999999997
24370,2012-09-10,Qpy,36.96179,-3.42465,5,P033,1843,CA,1.8,0.3390100000000001,3.5749999999999997
24371,2012-09-10,Qpy,36.96179,-3.42465,9,P033,1843,CA,2.5,5.2852500000000004,11.582999999999998
24376,2012-11-12,Qpy,36.95964,-3.43111,41,P030,1866,CA,11.5,504.55215000000004,240.38299999999998
24377,2012-11-12,Qpy,36.95964,-3.43111,39,P030,1866,CA,11,436.67910000000006,217.503
24849,2012-09-10,Qpy,36.96819,-3.41691,3,P023,1868,CA,1.4,0.5231787999999999,1.287
24852,2012-09-10,Qpy,36.96819,-3.41691,24,P023,1868,CA,9,135.3024,82.368
24854,2012-09-10,Qpy,36.96819,-3.41691,17,P023,1868,CA,8.5,64.11465,41.327
24856,2012-09-10,Qpy,36.96819,-3.41691,3,P023,1868,CA,1.3,0.4690946000000001,1.287
24857,2012-09-10,Qpy,36.96819,-3.41691,6,P023,1868,CA,3.7,1.1188616000000005,5.148
24862,2012-09-10,Qpy,36.96819,-3.41691,14,P023,1868,CA,6.5,33.251400000000004,28.028
24866,2012-09-10,Qpy,36.96819,-3.41691,28,P023,1868,CA,7.5,153.46800000000002,112.112
24867,2012-09-10,Qpy,36.96819,-3.41691,5,P023,1868,CA,2,0.4489,3.5749999999999997
24868,2012-09-10,Qpy,36.96819,-3.41691,8,P023,1868,CA,3,5.0112000000000005,9.152
24869,2012-09-10,Qpy,36.96819,-3.41691,20,P023,1868,CA,9.5,99.18,57.199999999999996
24873,2012-09-10,Qpy,36.96819,-3.41691,13,P023,1868,CA,6,26.465400000000002,24.166999999999998
24874,2012-09-10,Qpy,36.96819,-3.41691,9,P023,1868,CA,3.8,8.03358,11.582999999999998
24875,2012-09-10,Qpy,36.96819,-3.41691,9,P023,1868,CA,3.8,8.03358,11.582999999999998
24878,2012-09-10,Qpy,36.96819,-3.41691,4,P023,1868,CA,2.5,0.9455200000000001,2.288
24879,2012-09-10,Qpy,36.96819,-3.41691,2,P023,1868,CA,2,0.9723040000000001,0.572
24880,2012-09-10,Qpy,36.96819,-3.41691,4,P023,1868,CA,3,1.2178240000000002,2.288
24881,2012-09-10,Qpy,36.96819,-3.41691,4,P023,1868,CA,2.8,1.1089024,2.288
24882,2012-09-10,Qpy,36.96819,-3.41691,9,P023,1868,CA,4,8.4564,11.582999999999998
24884,2012-09-10,Qpy,36.96819,-3.41691,9,P023,1868,CA,4.5,9.51345,11.582999999999998
24885,2012-09-10,Qpy,36.96819,-3.41691,5,P023,1868,CA,3,0.9983500000000001,3.5749999999999997
24889,2012-09-10,Qpy,36.96819,-3.41691,9,P023,1868,CA,3.5,7.39935,11.582999999999998
24891,2012-09-10,Qpy,36.96819,-3.41691,10,P023,1868,CA,5.5,14.355000000000002,14.299999999999999
24893,2012-09-10,Qpy,36.96819,-3.41691,NA,P023,1868,CA,1.15,NA,NA
24894,2012-09-10,Qpy,36.96819,-3.41691,6,P023,1868,CA,1.7,0.008125600000000066,5.148
24895,2012-09-10,Qpy,36.96819,-3.41691,12,P023,1868,CA,7,26.3088,20.592
24896,2012-09-10,Qpy,36.96819,-3.41691,14,P023,1868,CA,8,40.924800000000005,28.028
24897,2012-09-10,Qpy,36.96819,-3.41691,7,P023,1868,CA,4.5,1.2566289999999998,7.007
24899,2012-09-10,Qpy,36.96819,-3.41691,7,P023,1868,CA,4.5,1.2566289999999998,7.007
24900,2012-09-10,Qpy,36.96819,-3.41691,14,P023,1868,CA,7.5,38.367000000000004,28.028
24901,2012-09-10,Qpy,36.96819,-3.41691,14,P023,1868,CA,7.5,38.367000000000004,28.028
24902,2012-09-10,Qpy,36.96819,-3.41691,14,P023,1868,CA,7.5,38.367000000000004,28.028
24903,2012-09-10,Qpy,36.96819,-3.41691,3,P023,1868,CA,2,0.8476840000000001,1.287
24892,2012-09-10,Qpy,36.96819,-3.41691,NA,P023,1868,CA,0.2,NA,NA
24960,2012-09-10,Qpy,36.96899,-3.41699,5,P026,1892,CA,4.5,1.822525,3.5749999999999997
24961,2012-09-10,Qpy,36.96899,-3.41699,3,P026,1892,CA,2.5,1.1181050000000001,1.287
24962,2012-09-10,Qpy,36.96899,-3.41699,8,P026,1892,CA,5,8.352,9.152
24963,2012-09-10,Qpy,36.96899,-3.41699,14,P026,1892,CA,7,35.809200000000004,28.028
24964,2012-09-10,Qpy,36.96899,-3.41699,12,P026,1892,CA,6,22.550400000000003,20.592
24966,2012-09-10,Qpy,36.96899,-3.41699,12,P026,1892,CA,9,33.8256,20.592
24967,2012-09-10,Qpy,36.96899,-3.41699,5,P026,1892,CA,5,2.0972500000000003,3.5749999999999997
24968,2012-09-10,Qpy,36.96899,-3.41699,13,P026,1892,CA,12,52.930800000000005,24.166999999999998
24969,2012-09-10,Qpy,36.96899,-3.41699,9,P026,1892,CA,7.5,15.85575,11.582999999999998
24970,2012-09-10,Qpy,36.96899,-3.41699,6,P026,1892,CA,4.5,1.563156,5.148
24971,2012-09-10,Qpy,36.96899,-3.41699,8,P026,1892,CA,7,11.6928,9.152
24972,2012-09-10,Qpy,36.96899,-3.41699,7,P026,1892,CA,5,1.5378100000000001,7.007
24973,2012-09-10,Qpy,36.96899,-3.41699,17,P026,1892,CA,12,90.51480000000001,41.327
24974,2012-09-10,Qpy,36.96899,-3.41699,6,P026,1892,CA,4.6,1.6186927999999998,5.148
24993,2012-09-10,Qpy,36.96899,-3.41699,NA,P026,1892,CA,0.29,NA,NA
25030,2012-09-10,Qpy,36.96647,-3.4203,38,P021,1883,CA,13,489.9492,206.492
25031,2012-09-10,Qpy,36.96647,-3.4203,23,P021,1883,CA,9,124.2621,75.64699999999999
25032,2012-09-10,Qpy,36.96647,-3.4203,6,P021,1883,CA,3.5,1.0077880000000001,5.148
25033,2012-09-10,Qpy,36.96647,-3.4203,9,P021,1883,CA,4.7,9.93627,11.582999999999998
25034,2012-09-10,Qpy,36.96647,-3.4203,31,P021,1883,CA,14,351.1494,137.423
25035,2012-09-10,Qpy,36.96647,-3.4203,6,P021,1883,CA,2.5,0.45242000000000016,5.148
25040,2012-09-10,Qpy,36.96647,-3.4203,29,P021,1883,CA,13,285.35130000000004,120.26299999999999
25043,2012-09-10,Qpy,36.96647,-3.4203,3,P021,1883,CA,1.2,0.4150104,1.287
25045,2012-09-10,Qpy,36.96647,-3.4203,5,P021,1883,CA,1.35,0.0917575000000001,3.5749999999999997
25046,2012-09-10,Qpy,36.96647,-3.4203,3,P021,1883,CA,1.3,0.4690946000000001,1.287
25050,2012-09-10,Qpy,36.96647,-3.4203,4,P021,1883,CA,1.1,0.18306880000000014,2.288
25055,2012-09-10,Qpy,36.96647,-3.4203,3,P021,1883,CA,1.4,0.5231787999999999,1.287
25036,2012-09-10,Qpy,36.96647,-3.4203,NA,P021,1883,CA,0.54,NA,NA
22949,2012-11-12,Qpy,36.95785,-3.42999,2,P031,1815,CA,1.27,0.5794530400000001,0.572
22950,2012-11-12,Qpy,36.95785,-3.42999,3.5,P031,1815,CA,1.55,0.5225152750000001,1.75175
22951,2012-11-12,Qpy,36.95785,-3.42999,13,P031,1815,CA,4,17.643600000000003,24.166999999999998
22952,2012-11-12,Qpy,36.95785,-3.42999,27,P031,1815,CA,4.36,82.95728400000002,104.24699999999999
23174,2012-10-31,Qpy,37.12511,-3.35712,38,A029,1575,SJ,10,376.884,206.492
23204,2012-10-31,Qpy,37.12511,-3.35712,2,A029,1575,SJ,1.1,0.48796720000000016,0.572
23206,2012-10-31,Qpy,37.12276,-3.35775,38,A026,1641,SJ,9,339.1956,206.492
23207,2012-10-31,Qpy,37.12276,-3.35775,40,A026,1641,SJ,9,375.84000000000003,228.79999999999998
23208,2012-10-31,Qpy,37.12276,-3.35775,33,A026,1641,SJ,8,227.38320000000002,155.72699999999998
23209,2012-10-31,Qpy,37.12276,-3.35775,48,A026,1641,SJ,12,721.6128000000001,329.472
23210,2012-10-31,Qpy,37.12276,-3.35775,40,A026,1641,SJ,10,417.6,228.79999999999998
23211,2012-10-31,Qpy,37.12276,-3.35775,31,A026,1641,SJ,10,250.821,137.423
23212,2012-10-31,Qpy,37.12276,-3.35775,25,A026,1641,SJ,7,114.1875,89.37499999999999
23213,2012-10-31,Qpy,37.12276,-3.35775,37,A026,1641,SJ,9,321.57810000000006,195.767
23215,2012-10-31,Qpy,37.12276,-3.35775,47,A026,1641,SJ,11,634.2039000000001,315.887
23216,2012-10-31,Qpy,37.12276,-3.35775,50,A026,1641,SJ,12,783,357.49999999999994
23217,2012-10-31,Qpy,37.12276,-3.35775,3,A026,1641,SJ,1.8,0.7395156000000002,1.287
23218,2012-10-31,Qpy,37.12276,-3.35775,4,A026,1641,SJ,1.2,0.2375296,2.288
23200,2012-10-31,Qpy,37.12511,-3.35712,1.2,A029,1575,SJ,0.6,0.8105999999999999,0.20591999999999996
23543,2012-09-10,Qpy,36.96116,-3.42192,9,P037,1806,CA,3,6.3423,11.582999999999998
23548,2012-09-10,Qpy,36.96116,-3.42192,44,P037,1806,CA,11,555.8256,276.84799999999996
23552,2012-09-10,Qpy,36.96116,-3.42192,37,P037,1806,CA,14,500.23260000000005,195.767
23554,2012-09-10,Qpy,36.96116,-3.42192,33,P037,1806,CA,11,312.6519,155.72699999999998
23556,2012-09-10,Qpy,36.96116,-3.42192,37,P037,1806,CA,15,535.9635000000001,195.767
23564,2012-09-10,Qpy,36.96116,-3.42192,36,P037,1806,CA,12,405.9072,185.32799999999997
23566,2012-09-10,Qpy,36.96116,-3.42192,27,P037,1806,CA,11,209.29590000000002,104.24699999999999
23568,2012-09-10,Qpy,36.96116,-3.42192,35,P037,1806,CA,16,511.56000000000006,175.17499999999998
25062,2012-09-10,Qpy,36.96647,-3.4203,60,P021,1883,CA,12,1127.52,514.8
25063,2012-09-10,Qpy,36.96647,-3.4203,60,P021,1883,CA,12,1127.52,514.8
25066,2012-09-10,Qpy,36.96647,-3.4203,55,P021,1883,CA,12,947.4300000000001,432.575
25069,2012-09-10,Qpy,36.96647,-3.4203,33,P021,1883,CA,11,312.6519,155.72699999999998
25070,2012-09-10,Qpy,36.96647,-3.4203,30,P021,1883,CA,11,258.39000000000004,128.7
25087,2012-09-10,Qpy,36.96495,-3.41802,31,P022,1833,CA,14,351.1494,137.423
25090,2012-09-10,Qpy,36.96495,-3.41802,10,P022,1833,CA,5,13.05,14.299999999999999
25091,2012-09-10,Qpy,36.96495,-3.41802,17,P022,1833,CA,7.5,56.57175,41.327
25092,2012-09-10,Qpy,36.96495,-3.41802,12,P022,1833,CA,8,30.067200000000003,20.592
25094,2012-09-10,Qpy,36.96495,-3.41802,32,P022,1833,CA,17,454.34880000000004,146.432
25096,2012-09-10,Qpy,36.96495,-3.41802,48,P022,1833,CA,11,661.4784000000001,329.472
25098,2012-09-10,Qpy,36.96495,-3.41802,46,P022,1833,CA,11.5,635.1174,302.58799999999997
25099,2012-09-10,Qpy,36.96495,-3.41802,38,P022,1833,CA,11,414.5724,206.492
25100,2012-09-10,Qpy,36.96495,-3.41802,NA,P022,1833,CA,1.5,NA,NA
25101,2012-09-10,Qpy,36.96495,-3.41802,35,P022,1833,CA,11,351.69750000000005,175.17499999999998
25630,2012-11-08,Qpy,37.12559,-3.36589,12,A024,1629,SJ,4,15.033600000000002,20.592
25631,2012-11-08,Qpy,37.12559,-3.36589,18,A024,1629,SJ,4,33.8256,46.331999999999994
25633,2012-11-08,Qpy,37.12559,-3.36589,9,A024,1629,SJ,4.5,9.51345,11.582999999999998
25634,2012-11-08,Qpy,37.12559,-3.36589,13,A024,1629,SJ,5,22.054500000000004,24.166999999999998
25696,2012-10-31,Qpy,37.12358,-3.35758,25,A027,1613,SJ,6,97.875,89.37499999999999
25697,2012-10-31,Qpy,37.12358,-3.35758,30,A027,1613,SJ,9,211.41000000000003,128.7
25699,2012-10-31,Qpy,37.12358,-3.35758,27,A027,1613,SJ,9.5,180.75555,104.24699999999999
25700,2012-10-31,Qpy,37.12358,-3.35758,32,A027,1613,SJ,10,267.264,146.432
25701,2012-10-31,Qpy,37.12358,-3.35758,15,A027,1613,SJ,7,41.1075,32.175
25703,2012-10-31,Qpy,37.12358,-3.35758,30,A027,1613,SJ,10,234.90000000000003,128.7
25704,2012-10-31,Qpy,37.12358,-3.35758,32,A027,1613,SJ,10,267.264,146.432
25705,2012-10-31,Qpy,37.12358,-3.35758,32,A027,1613,SJ,10,267.264,146.432
25706,2012-10-31,Qpy,37.12358,-3.35758,32,A027,1613,SJ,10,267.264,146.432
25708,2012-10-31,Qpy,37.12358,-3.35758,15,A027,1613,SJ,9.75,57.25687500000001,32.175
25709,2012-10-31,Qpy,37.12358,-3.35758,15,A027,1613,SJ,9.75,57.25687500000001,32.175
25710,2012-10-31,Qpy,37.12358,-3.35758,20,A027,1613,SJ,8,83.52000000000001,57.199999999999996
25711,2012-10-31,Qpy,37.12358,-3.35758,37,A027,1613,SJ,11,393.03990000000005,195.767
25712,2012-10-31,Qpy,37.12358,-3.35758,2,A027,1613,SJ,1.3,0.5955976000000001,0.572
25713,2012-10-31,Qpy,37.12358,-3.35758,23,A027,1613,SJ,8.5,117.35865000000001,75.64699999999999
25716,2012-10-31,Qpy,37.12358,-3.35758,25,A027,1613,SJ,6,97.875,89.37499999999999
25717,2012-10-31,Qpy,37.12358,-3.35758,25,A027,1613,SJ,6,97.875,89.37499999999999
25718,2012-10-31,Qpy,37.12358,-3.35758,21,A027,1613,SJ,6,69.06060000000001,63.062999999999995
