"INDICATIVO";"A.O";"MES";"NOMBRE";"ALTITUD";"C_X";"C_Y";"NOM_PROV";"T_MAX";"D1MAX";"D2MAX";"T_MIN";"D1MIN";"D2MIN";"TM_MAX";"TM_MIN";"TM_MES"
"3104";1998;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";145;21;22;-55;26;NA;82;1;42
"3104";1998;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";215;16;NA;-50;24;NA;129;-9;60
"3104";1998;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";205;20;NA;-50;14;NA;159;9;84
"3104";1998;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";225;25;NA;-25;11;12;114;22;68
"3104";1998;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";235;18;NA;-5;1;4;170;49;109
"3104";1998;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";295;28;30;-5;12;NA;242;82;162
"3104";1998;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";325;29;NA;40;12;NA;279;91;185
"3104";1998;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;10;NA;30;3;4;282;92;187
"3104";1998;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;9;NA;45;8;9;220;74;147
"3104";1998;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";220;3;99;-30;20;22;167;18;92
"3104";1998;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";185;9;NA;-70;21;NA;122;0;61
"3104";1998;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";185;15;NA;-90;7;NA;106;-43;32
"3104";1999;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";145;5;6;-130;12;13;84;-41;22
"3104";1999;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;4;NA;-120;14;NA;99;-30;35
"3104";1999;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;21;99;-45;20;23;121;-11;55
"3104";1999;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";230;5;NA;-35;9;10;150;11;80
"3104";1999;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";260;31;NA;10;9;17;193;50;122
"3104";1999;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";310;30;NA;15;6;NA;236;66;152
"3104";1999;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";325;24;NA;55;12;NA;270;93;182
"3104";1999;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";275;12;NA;40;15;99;217;75;146
"3104";1999;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";215;2;28;-30;4;NA;162;45;103
"3104";1999;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";190;8;NA;-70;27;28;97;-16;41
"3104";1999;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";150;2;NA;-110;30;NA;97;-24;37
"3104";2000;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";165;31;NA;-110;25;NA;82;-69;7
"3104";2000;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";180;3;NA;-60;11;15;143;-15;64
"3104";2000;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";180;20;NA;-45;6;NA;113;20;67
"3104";2000;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";275;31;NA;30;10;NA;187;64;126
"3104";2000;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";300;26;NA;22;6;NA;245;77;161
"3104";2000;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;31;NA;28;12;NA;252;87;170
"3104";2000;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";322;16;NA;20;5;NA;265;79;172
"3104";2000;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";310;8;10;-10;21;NA;232;61;147
"3104";2000;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";240;4;NA;-12;7;NA;155;38;97
"3104";2000;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";160;28;NA;-50;16;NA;82;16;49
"3104";2000;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";110;16;NA;-60;16;17;63;6;35
"3104";2001;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";130;5;NA;-46;21;NA;58;-1;28
"3104";2001;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";180;13;16;-80;26;NA;107;-8;50
"3104";2001;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";200;24;NA;-30;14;NA;132;31;82
"3104";2001;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";195;16;29;-40;12;NA;152;8;81
"3104";2001;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";295;29;99;-20;2;6;182;41;112
"3104";2001;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;23;24;25;12;NA;265;82;174
"3104";2001;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;2;NA;45;20;21;264;97;180
"3104";2001;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";325;1;24;60;19;NA;275;104;189
"3104";2001;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";295;7;NA;0;18;NA;232;62;147
"3104";2001;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";240;2;NA;-5;22;24;183;37;110
"3104";2001;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";185;1;NA;-80;11;NA;107;-23;42
"3104";2001;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;3;5;-150;25;NA;93;-76;9
"3104";2002;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;28;29;-60;12;NA;95;-22;37
"3104";2002;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";180;13;NA;-70;17;NA;120;-26;47
"3104";2002;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";245;23;NA;-65;3;NA;130;-1;65
"3104";2002;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";255;30;31;-20;6;NA;176;35;106
"3104";2002;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";315;17;22;25;9;NA;252;113;183
"3104";2002;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";320;27;28;30;15;NA;269;96;183
"3104";2002;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";300;13;17;45;2;NA;255;83;169
"3104";2002;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";255;1;NA;-20;25;26;213;61;137
"3104";2002;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";210;7;NA;15;26;99;162;48;105
"3104";2002;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";195;10;NA;-45;26;NA;109;10;60
"3104";2002;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";140;20;23;-60;9;NA;87;0;44
"3104";2003;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";160;26;NA;-140;12;13;65;-32;17
"3104";2003;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";125;9;NA;-110;19;NA;66;-26;20
"3104";2003;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";210;12;NA;-50;20;NA;138;-2;68
"3104";2003;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";200;28;NA;-50;4;5;140;16;78
"3104";2003;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";270;23;NA;-40;27;NA;201;36;119
"3104";2003;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";310;20;99;60;6;NA;273;98;186
"3104";2003;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;9;11;50;17;NA;284;99;192
"3104";2003;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";355;2;NA;65;27;28;294;109;202
"3104";2003;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;13;NA;35;10;19;235;74;155
"3104";2003;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";200;11;NA;-30;24;25;122;50;86
"3104";2003;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";190;9;NA;-20;25;NA;116;16;66
"3104";2003;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";160;14;15;-80;16;NA;82;-26;28
"3104";2004;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";140;21;NA;-80;29;30;91;-5;43
"3104";2004;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;5;6;-75;19;22;103;-25;39
"3104";2004;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";195;20;NA;-160;2;NA;104;-11;47
"3104";2004;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";235;25;NA;-50;9;99;139;4;72
"3104";2004;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";245;31;NA;-20;8;NA;158;38;98
"3104";2004;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";320;28;NA;20;14;NA;255;85;170
"3104";2004;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;24;NA;20;9;NA;277;88;183
"3104";2004;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";320;1;NA;40;21;NA;260;94;177
"3104";2004;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";275;21;22;20;17;NA;247;72;159
"3104";2004;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";270;1;2;-25;13;NA;174;43;109
"3104";2004;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";180;20;NA;-85;25;NA;118;-22;48
"3104";2004;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";140;24;NA;-75;23;NA;84;-25;30
"3104";2005;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;21;NA;-150;27;NA;93;-56;19
"3104";2005;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";140;12;NA;-150;28;NA;57;-60;-1
"3104";2005;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";200;20;NA;-190;1;NA;121;-22;50
"3104";2005;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";245;29;NA;-60;10;NA;140;17;79
"3104";2005;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";285;25;26;-25;6;NA;202;46;124
"3104";2005;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";310;17;NA;50;10;NA;263;83;174
"3104";2005;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;21;NA;50;11;99;290;90;190
"3104";2005;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";350;7;NA;10;22;NA;286;87;187
"3104";2005;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";305;4;NA;-35;19;NA;233;52;143
"3104";2005;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";250;1;NA;-30;4;NA;177;31;104
"3104";2005;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";150;7;NA;-60;24;NA;90;-12;39
"3104";2005;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";135;11;NA;-100;16;NA;82;-49;17
"3104";2006;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";145;19;NA;-110;28;99;63;-51;6
"3104";2006;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;13;NA;-125;28;NA;95;-45;25
"3104";2006;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";200;31;NA;-120;1;NA;122;1;62
"3104";2006;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";215;26;NA;-35;13;29;162;14;88
"3104";2006;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";285;17;NA;-30;24;NA;209;47;128
"3104";2006;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";300;7;8;-30;1;NA;253;71;162
"3104";2006;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;10;NA;55;4;NA;286;101;194
"3104";2006;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";315;31;NA;10;13;NA;267;76;171
"3104";2006;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;3;NA;15;24;NA;238;69;154
"3104";2006;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";250;29;NA;-10;6;99;187;42;114
"3104";2006;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";195;1;13;-50;30;NA;127;21;74
"3104";2006;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";125;4;NA;-90;21;99;89;-46;22
"3104";2007;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";195;19;NA;-160;27;NA;100;-48;27
"3104";2007;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";165;27;NA;-80;1;NA;100;-9;46
"3104";2007;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";180;4;NA;-50;20;99;112;-17;47
"3104";2007;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";215;23;NA;-60;5;NA;136;7;72
"3104";2007;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";260;18;NA;-20;5;NA;173;37;105
"3104";2007;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;16;NA;10;5;NA;222;55;139
"3104";2007;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;20;NA;30;10;NA;270;75;173
"3104";2007;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";350;4;NA;0;22;31;257;71;164
"3104";2007;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";285;6;NA;-45;28;NA;233;47;140
"3104";2007;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";210;6;20;-50;27;28;176;11;93
"3104";2007;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";210;5;99;-110;16;NA;141;-45;48
"3104";2007;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";160;6;NA;-120;16;NA;98;-58;20
"3104";2008;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;20;24;-95;1;31;110;-34;38
"3104";2008;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;8;NA;-95;1;NA;109;-10;50
"3104";2008;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";195;2;NA;-70;20;NA;120;-12;54
"3104";2008;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";235;26;NA;-45;15;NA;151;9;80
"3104";2008;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";220;5;6;-35;1;NA;162;32;97
"3104";2008;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;30;NA;5;6;NA;219;57;138
"3104";2008;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";320;23;NA;10;8;NA;265;65;165
"3104";2008;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";330;4;NA;30;13;14;271;63;167
"3104";2008;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";255;1;2;0;8;30;209;44;127
"3104";2008;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";225;1;NA;-50;5;NA;155;32;94
"3104";2008;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;17;NA;-105;28;NA;95;-35;30
"3104";2009;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";125;19;NA;-150;11;12;56;-55;0
"3104";2009;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;24;NA;-75;14;16;106;-52;28
"3104";2009;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";215;19;NA;-75;30;31;148;-35;57
"3104";2009;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";220;23;24;-65;1;NA;138;-19;60
"3104";2009;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";265;21;NA;-30;2;3;211;27;119
"3104";2009;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";320;13;NA;5;21;NA;251;70;161
"3104";2009;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;26;NA;10;18;19;285;70;177
"3104";2009;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;8;29;40;2;NA;299;76;188
"3104";2009;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;3;NA;-20;17;NA;228;43;136
"3104";2009;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";255;4;NA;-55;15;19;201;21;111
"3104";2009;11;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;16;NA;-75;25;NA;123;-14;56
"3104";2009;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;12;NA;-120;20;21;80;-33;24
"3104";2010;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";105;17;99;-125;10;NA;54;-6;24
"3104";2010;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";130;27;NA;-70;14;15;66;8;37
"3104";2010;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;28;NA;-50;9;NA;96;26;61
"3104";2010;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";245;27;28;-10;11;NA;153;38;96
"3104";2010;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";255;23;99;-30;6;NA;170;41;106
"3104";2010;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";300;24;NA;-25;21;NA;235;55;145
"3104";2010;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;7;NA;50;16;99;298;79;189
"3104";2010;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";325;25;NA;5;15;NA;287;65;176
"3104";2010;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";305;15;NA;5;10;NA;245;51;148
"3104";2010;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";250;2;NA;-75;18;19;178;-4;85
"3104";2010;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";185;12;NA;-135;26;NA;85;-46;20
"3104";2011;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";170;12;NA;-155;23;24;95;-55;20
"3104";2011;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";190;20;NA;-70;7;NA;104;-16;44
"3104";2011;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";280;9;NA;5;2;99;204;19;111
"3104";2011;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;15;NA;-30;15;NA;221;29;125
"3104";2011;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";350;30;NA;-20;2;NA;260;47;154
"3104";2011;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";320;1;NA;15;19;NA;279;50;165
"3104";2011;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;20;NA;-15;28;NA;288;62;176
"3104";2011;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";300;9;13;-25;19;NA;267;32;150
"3104";2011;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;11;NA;-75;21;NA;206;-4;101
"3104";2011;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";205;23;NA;-95;30;NA;117;-25;46
"3104";2012;1;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;9;NA;-95;11;12;106;-53;27
"3104";2012;2;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";175;26;NA;-145;9;NA;87;-73;7
"3104";2012;3;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";220;14;NA;-95;5;20;148;-44;52
"3104";2012;4;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";195;1;NA;-50;17;NA;110;4;57
"3104";2012;5;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";290;12;NA;-45;1;NA;206;20;113
"3104";2012;6;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";340;26;NA;0;13;NA;256;43;150
"3104";2012;7;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";335;21;NA;0;2;NA;279;49;164
"3104";2012;8;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";360;10;NA;-35;31;NA;297;61;179
"3104";2012;9;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";305;15;NA;-30;29;NA;241;37;141
"3104";2012;10;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";260;7;NA;-90;30;NA;158;12;84
"3104";2012;12;"RASCAFRIA (EL PAULAR)";1159;425300;4526757;"MADRID";140;23;NA;-105;10;NA;93;-38;28
"3108E";1987;6;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";320;27;NA;40;16;NA;248;108;178
"3108E";1987;7;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";315;11;NA;80;27;NA;267;130;199
"3108E";1987;8;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";365;13;NA;95;25;27;293;151;222
"3108E";1987;9;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";330;8;13;80;27;NA;265;119;192
"3108E";1987;10;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";210;26;NA;-10;21;29;149;60;105
"3108E";1987;11;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";185;18;NA;-45;30;NA;129;30;79
"3108E";1987;12;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";195;19;NA;-65;2;NA;120;4;62
"3108E";1988;1;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";135;1;9;-30;14;NA;90;13;52
"3108E";1988;3;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";220;25;NA;-40;2;5;148;10;79
"3108E";1988;4;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";200;15;16;-20;2;NA;134;29;81
"3108E";1988;5;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";215;21;NA;25;3;21;170;57;114
"3108E";1988;6;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";265;4;NA;10;5;NA;200;74;137
"3108E";1988;7;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";310;11;19;50;6;NA;259;101;180
"3108E";1988;9;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";370;6;NA;20;15;NA;266;85;175
"3108E";1988;10;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";275;1;NA;5;20;NA;193;53;123
"3108E";1988;11;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";190;3;15;-85;23;NA;133;13;73
"3108E";1988;12;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";185;12;NA;-70;29;NA;123;-19;52
"3108E";1989;1;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";180;1;NA;-65;4;99;110;-32;39
"3108E";1989;2;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";190;18;19;-60;5;NA;114;-15;50
"3108E";1989;3;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";230;11;NA;-40;14;99;161;14;88
"3108E";1989;4;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";165;21;29;-40;5;NA;110;3;57
"3108E";1989;5;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";260;7;10;5;2;NA;222;51;137
"3108E";1989;6;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";310;30;NA;25;4;8;248;80;164
"3108E";1989;7;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";355;21;NA;90;7;8;313;118;216
"3108E";1989;8;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";350;1;2;90;4;31;301;110;206
"3108E";1989;9;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";280;15;NA;20;30;NA;236;67;152
"3108E";1989;10;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";260;5;NA;0;14;15;223;41;132
"3108E";1989;11;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";270;11;17;10;13;NA;182;42;112
"3108E";1989;12;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";150;8;NA;0;24;27;97;44;70
"3108E";1990;1;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";100;13;NA;-30;17;99;75;6;40
"3108E";1990;2;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";200;24;26;0;9;17;145;25;85
"3108E";1990;3;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";210;8;NA;-70;4;NA;121;20;70
"3108E";1990;4;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";190;29;30;-15;21;NA;120;20;70
"3108E";1990;5;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";190;20;99;40;2;5;161;81;121
"3108E";1990;6;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";300;29;30;60;1;2;238;98;168
"3108E";1990;7;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";350;18;NA;90;29;NA;310;125;217
"3108E";1990;8;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";340;22;NA;100;8;99;286;135;210
"3108E";1990;9;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";320;8;NA;100;1;99;252;120;186
"3108E";1990;10;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";260;2;NA;30;20;NA;169;71;120
"3108E";1990;11;"GARGANTILLA LOZOYA (CAMPING)";1085;438811;4533232;"MADRID";250;9;NA;-20;4;5;128;31;80
